samples - プロット0	value - プロット0	
1439	0.110213	
1440	0.812827	
1441	0.515395	
1442	0.217919	
1443	0.920398	
1444	0.622832	
1445	0.325223	
1446	0.0275703	
1447	0.729874	
1448	0.432134	
1449	0.134352	
1450	0.836527	
1451	0.53866	
1452	0.240751	
1453	0.9428	
1454	0.644808	
1455	0.346775	
1456	0.0487011	
1457	0.750587	
1458	0.452432	
1459	0.154238	
1460	0.856004	
1461	0.55773	
1462	0.259418	
1463	0.961067	
1464	0.662678	
1465	0.36425	
1466	0.0657848	
1467	0.767282	
1468	0.468742	
1469	0.170165	
1470	0.871552	
1471	0.572902	
1472	0.274216	
1473	0.975494	
1474	0.676737	
1475	0.377946	
1476	0.0791186	
1477	0.780257	
1478	0.481362	
1479	0.182432	
1480	0.883469	
1481	0.584473	
1482	0.285444	
1483	0.986382	
1484	0.687287	
1485	0.388161	
1486	0.0890025	
1487	0.789813	
1488	0.490592	
1489	0.19134	
1490	0.892058	
1491	0.592745	
1492	0.293403	
1493	0.99403	
1494	0.694629	
1495	0.395198	
1496	0.0957391	
1497	0.796251	
1498	0.496736	
1499	0.197192	
1500	0.897621	
1501	0.598023	
1502	0.298397	
1503	0.998746	
1504	0.699068	
1505	0.399364	
1506	0.099634	
1507	0.799879	
1508	0.500099	
1509	0.200294	
1510	0.900465	
1511	0.600612	
1512	0.300735	
1513	0.000835028	
1514	0.700912	
1515	0.400965	
1516	0.100996	
1517	0.801005	
1518	0.500992	
1519	0.200958	
1520	0.900902	
1521	0.600825	
1522	0.300728	
1523	0.000610089	
1524	0.700472	
1525	0.400315	
1526	0.100138	
1527	0.799943	
1528	0.499728	
1529	0.199495	
1530	0.899244	
1531	0.598975	
1532	0.298689	
1533	0.998386	
1534	0.698066	
1535	0.397729	
1536	0.0973762	
1537	0.797008	
1538	0.496623	
1539	0.196224	
1540	0.89581	
1541	0.595381	
1542	0.294938	
1543	0.994481	
1544	0.69401	
1545	0.393527	
1546	0.0930299	
1547	0.792521	
1548	0.491999	
1549	0.191465	
1550	0.89092	
1551	0.590364	
1552	0.289796	
1553	0.989218	
1554	0.68863	
1555	0.388032	
1556	0.0874237	
1557	0.786806	
1558	0.48618	
1559	0.185545	
1560	0.884902	
1561	0.584251	
1562	0.283592	
1563	0.982925	
1564	0.682252	
1565	0.381572	
1566	0.080886	
1567	0.780194	
1568	0.479496	
1569	0.178793	
1570	0.878084	
1571	0.577372	
1572	0.276655	
1573	0.975933	
1574	0.675209	
1575	0.374481	
1576	0.0737498	
1577	0.773016	
1578	0.47228	
1579	0.171543	
1580	0.870803	
1581	0.570063	
1582	0.269321	
1583	0.968579	
1584	0.667837	
1585	0.367095	
1586	0.066353	
1587	0.765612	
1588	0.464872	
1589	0.164134	
1590	0.863398	
1591	0.562664	
1592	0.261932	
1593	0.961204	
1594	0.660478	
1595	0.359756	
1596	0.0590383	
1597	0.758325	
1598	0.457616	
1599	0.156912	
1600	0.856213	
1601	0.55552	
1602	0.254833	
1603	0.954153	
1604	0.653479	
1605	0.352813	
1606	0.0521538	
1607	0.751503	
1608	0.450859	
1609	0.150225	
1610	0.849599	
1611	0.548983	
1612	0.248376	
1613	0.94778	
1614	0.647193	
1615	0.346617	
1616	0.0460529	
1617	0.7455	
1618	0.444958	
1619	0.144429	
1620	0.843912	
1621	0.543408	
1622	0.242918	
1623	0.942441	
1624	0.641977	
1625	0.341529	
1626	0.0410946	
1627	0.740676	
1628	0.440272	
1629	0.139884	
1630	0.839513	
1631	0.539158	
1632	0.23882	
1633	0.938499	
1634	0.638196	
1635	0.337911	
1636	0.0376439	
1637	0.737396	
1638	0.437167	
